
import pandas as pd

data = {
    "species_name": ["Kangaroo", "Polar Bear", "Giraffe", "Sloth", "Ostrich"],
    "habitat.region": ["Australia", "Arctic", "Africa", "South America", "Africa"],
    "habitat.climate": ["Tropical", "Arctic", "Savannah", "Tropical Rainforest", "Savannah"],
    "habitat.elevation_meters": [0, 0, 1500, 0, 2000],
    "average_lifespan_years": [12, 25, 25, 30, 40],
    "diet.primary_food": ["Grass", "Fish", "Leaves", "Leaves", "Seeds"],
    "diet.secondary_food": ["", "Seals", "", "Insects", ""],
    "diet.is_carnivorous": [False, True, False, False, False],
    "physical_traits.height_cm": [180, 260, 580, 100, 250],
    "physical_traits.weight_kg": [60, 500, 1000, 10, 100],
    "physical_traits.fur_color": ["Brown", "White", "Tan", "Gray", "Brown"],
    "physical_traits.has_wings": [False, False, False, False, False],
    "social_structure.group_size": [10, 2, 10, 1, 1],
    "social_structure.dominant_gender": ["Male", "Female", "Male", "None", "Male"],
    "notable_behaviors[0].behavior_name": ["Jumping", "Swimming", "Reaching", "Swinging", "Running"],
    "notable_behaviors[0].frequency_per_day": [10, 5, 2, 1, 1],
    "notable_behaviors[1].behavior_name": ["Mating", "Hunting", "Mating", "Mating", "Mating"],
    "notable_behaviors[1].frequency_per_day": [1, 2, 1, 1, 1]
}

df = pd.DataFrame(data)
df.to_csv("animal_species.csv", index=False)
