
species_name,habitat.region,habitat.climate,habitat.elevation_meters,average_lifespan_years,diet.primary_food,diet.secondary_food,diet.is_carnivorous,physical_traits.height_cm,physical_traits.weight_kg,physical_traits.fur_color,physical_traits.has_wings,social_structure.group_size,social_structure.dominant_gender,notable_behaviors[0].behavior_name,notable_behaviors[0].frequency_per_day,notable_behaviors[1].behavior_name,notable_behaviors[1].frequency_per_day
"Fictitious Flufftail","Savannah Plains","Tropical","500","10","Grasses","Insects","false","150","20","Brown","false","5","male","Migration","3","Nesting"
"Mystic Mountain Mammoth","Alpine Mountains","Temperate","3000","20","Leaves","Berries","false","250","5000","Gray","false","10","none","Hibernation","1","Foraging"
"Aquatic Aviary Anglerfish","Deep Ocean","Cold","4000","5","Small Fish","Crustaceans","true","30","1000","Blue","false","1","none","Bioluminescent Attraction","2","Deep Diving"
"Desert Dune Dingo","Desert","Arid","100","15","Small Mammals","Fruits","true","60","30","Sand-colored","false","15","male","Pack Hunting","4","Denning"
"Forest Foliage Frog","Tropical Rainforest","Tropical","100","10","Insects","Fruits","false","5","1","Green","false","20","none","Amplexus","1","Egg Laying"
"Highland Hare Hare","Mountainous Regions","Temperate","2000","12","Grasses","Leaves","false","70","150","White","false","10","female","Bounding","3","Foraging"
"Jungle Jaguar","Tropical Rainforest","Tropical","100","15","Meat","Fruits","true","100","150","Yellow","false","3","male","Stalking","2","Roaring"
"Lava Lake Lizard","Volcanic Islands","Tropical","500","5","Insects","Fruits","false","30","100","Red","false","20","none","Basking","1","Climbing"
"Misty Mountain Mole","Mountainous Regions","Temperate","2500","8","Worms","Insects","false","20","100","Brown","false","1","none","Tunneling","1","Foraging"
"Nighttime Nighthawk","Tropical Savannah","Tropical","1000","12","Insects","Fruits","false","60","100","Black","true","20","none","Nocturnal Flight","1","Roosting"
"Oceanic Orca","Polar Regions","Cold","0","20","Fish","Squid","true","500","15000","Black","false","10","none","Cooperative Hunting","2","Breaching"
"Plains Pangolin","Grasslands","Tropical","200","15","Ants","Termites","true","40","10","Brown","false","5","female","Digging","1","Curling"
"Quarry Quokka","Australian Outback","Arid","100","10","Grasses","Fruits","false","40","10","Golden","false","10","male","Social Grooming","2","Licking"
"Rainforest Raccoon","Tropical Rainforest","Tropical","100","12","Fruits","Insects","false","60","15","Gray","false","20","none","Scavenging","3","Tool Use"
"Savannah Snake","Savannah Plains","Tropical","500","15","Small Mammals","Insects","true","100","200","Green","false","10","none","Slithering","1","Hunting"
"Tundra Tiger","Arctic Tundra","Cold","500","12","Meat","Fish","true","120","1000","White","false","5","male","Stalking","2","Roaring"
"Urban Uglify Fox","Suburban Areas","Temperate","100","10","Rodents","Fruits","true","15","5","Red","false","3","female","Foraging","2","Playing"
"Volcanic Vulture","Volcanic Islands","Tropical","1000","20","Meat","Fruits","true","100","10000","White","true","20","none","Soaring","1","Scavenging"
"Wetland Wombat","Wetlands","Temperate","100","15","Grasses","Fruits","false","50","30","Brown","false","10","female","Burrowing","1","Digging"
"Xenophobic Xerus","Desert","Arid","500","10","Seeds","Insects","false","30","10","Brown","false","15","male","Foraging","2","Hiding"
"Yellow Yak","Highland Grasslands","Temperate","2000","15","Grasses","Fruits","false","200","2000","Yellow","false","10","male","Grazing","4","Mating"
"Zenith Zephyr","Mountain Peaks","Alpine","4000","12","Insects","Fruits","false","40","100","White","false","5","none","Soaring","1","Nesting"
