species_name,primary_color,average_height_cm,habitat_type,diet_classification,number_of_legs,average_lifespan_years,endangered_status,native_planet,notable_ability,first_discovered_year,discovered_by,communication_method,social_structure,reproduction_cycle_days
Zyloxian,iridescent blue,210,gas giant clouds,omnivore,0,120,not threatened,Zephyria,telekinesis,3021,Dr. Elara Voss,sonic pulses,communal clusters,365
Gorvaxian,crimson,150,volcanic plains,carnivore,6,80,vulnerable,Volcarnis,heat resistance,2998,Expedition Omega,infrared signals,tribal groups,180
Luminara,glowing white,180,crystal forests,herbivore,4,200,not threatened,Crystalia,light emission,3100,Professor Lumen,light patterns,matriarchal clans,400
Thalassian,emerald green,90,oceanic caves,omnivore,8,60,endangered,Aquara,bioluminescence,3050,Marine Team Alpha,sonic pulses,schools,90
Xylarian,silver,250,metallic mountains,herbivore,2,150,not threatened,Metallus,magnetic manipulation,2980,Dr. Ferro,magnetic waves,solitary,500
Vortigon,deep purple,300,gas giant clouds,carnivore,0,100,vulnerable,Zephyria,energy absorption,3010,Astro Crew Zeta,radio waves,nomadic,365
Floranthian,vibrant pink,60,flowering meadows,herbivore,6,30,not threatened,Petalia,rapid regeneration,3120,Botanist Flora,fragrance signals,colonies,30
Terranite,earthy brown,170,rocky terrains,omnivore,4,90,not threatened,Terra Nova,camouflage,2995,Explorer Terra,body language,tribal groups,365
Aetherian,transparent,200,ethereal planes,omnivore,0,500,endangered,Aetheria,phase shifting,3200,Dr. Aether,telepathy,solitary,1000
Pyronian,fiery red,140,volcanic plains,carnivore,4,70,vulnerable,Volcarnis,fire breathing,3005,Expedition Pyro,heat waves,clans,200
Aquarion,azure blue,100,deep oceans,herbivore,0,50,not threatened,Aquara,water manipulation,3075,Oceanic Survey Team,sonic pulses,schools,60
Sylvanian,leafy green,80,forested areas,herbivore,2,40,not threatened,Arborea,photosynthesis,2950,Dr. Sylva,leaf rustling,communal clusters,45
Nebulon,starry black,220,nebulae,omnivore,0,1000,endangered,Nebulon,gravity control,3150,Stellar Expedition,light pulses,solitary,2000
Terrapod,rocky grey,160,underground caverns,omnivore,8,120,not threatened,Terra Nova,earth tunneling,3025,Geologist Terra,subsonic vibrations,colonies,365
Zephyrite,sky blue,190,windy plateaus,herbivore,4,110,not threatened,Zephyria,wind riding,3080,Wind Explorer,whistling,tribal groups,300
