species_name,primary_color,average_height_cm,habitat_type,diet_classification,number_of_legs,average_lifespan_years,endangered_status,native_planet,notable_ability,first_discovered_year,discovered_by,communication_method,social_structure,reproduction_cycle_days
Zyglor,iridescent blue,180,forest,omnivore,4,120,vulnerable,Xenthos,telepathy,2147,Expedition Nova,sonic pulses,tribal packs,45
Varkon,crimson red,250,desert,carnivore,6,80,endangered,Drakthar,camouflage,2099,Dr. Lira Kess,color changes,clan hierarchies,60
Mirellian,emerald green,95,oceanic caves,herbivore,0,50,not threatened,Aquarion,bioluminescence,2201,Deep Sea Survey,color flashes,colonial groups,30
Threxian,metallic silver,300,mountainous,omnivore,8,150,vulnerable,Voltar,magnetic field manipulation,2120,Galactic Frontier,sonic pulses,tribal clans,90
Qorvax,purple,120,swamp,herbivore,4,70,endangered,Mirella,acid secretion,2175,Dr. Han Solis,chemical signals,matriarchal clans,40
Lunari,glowing white,60,ice plains,omnivore,2,40,not threatened,Lunaris,night vision,2250,Polar Expedition,infrared signals,family units,25
Draxil,black with red spots,220,volcanic fields,carnivore,6,100,vulnerable,Pyron,heat resistance,2105,Dr. Vex,sonic pulses,hunter packs,55
Syllith,translucent blue,15,underground tunnels,herbivore,0,15,not threatened,Subterra,echolocation,2300,Subterra Survey,sonic pulses,colonial clusters,20
Krell,bronze,180,grasslands,omnivore,4,90,endangered,Gravon,enhanced strength,2080,Dr. Marn,body language,tribal clans,50
Orvax,neon green,130,swamp,omnivore,6,75,vulnerable,Swamplon,regeneration,2190,Expedition Delta,color changes,matriarchal clans,35
Fenari,white and gold,85,sky islands,herbivore,2,60,not threatened,Aerion,flight,2235,Airborne Survey,sonic pulses,flock societies,28
Zenth,dark blue,200,deep ocean,carnivore,4,110,endangered,Marina,pressure resistance,2115,Oceanic Research,bioluminescent signals,pack hunters,65
Vorlun,gray,170,rocky deserts,omnivore,4,95,vulnerable,Aridia,stone manipulation,2150,Dr. Kallus,sonic pulses,tribal clans,48
Nerith,golden yellow,100,jungle,herbivore,4,85,not threatened,Florana,poison immunity,2220,Flora Expedition,color changes,matriarchal clans,33
Xelthar,crimson and black,250,volcanic mountains,carnivore,8,130,endangered,Ignis,fire manipulation,2090,Dr. Vex,sonic pulses,hunter packs,70
