
species_name,primary_color,average_height_cm,habitat_type,diet_classification,number_of_legs,average_lifespan_years,endangered_status,native_planet,notable_ability,first_discovered_year,discovered_by,communication_method,social_structure,reproduction_cycle_days
Zyloxian,iridescent blue,180,forest,herbivore,4,200,not threatened,Zylox,photosynthesis,3021,Dr. Elara Voss,bioluminescent signals,tribal groups,30
Graxian,deep green,220,swamps,omnivore,6,150,vulnerable,Graxia,camouflage,3015,Expedition Alpha,chemical pheromones,communal nests,45
Vortaxian,metallic silver,150,urban,omnivore,2,100,endangered,Vortax,telekinesis,3005,Captain Juno,sonic waves,meritocratic councils,60
Flarian,bright orange,160,volcanic,herbivore,4,80,not threatened,Flaris,fire resistance,2999,Dr. Mira Kahn,visual signals,clan-based,25
Klythar,translucent purple,190,oceanic caves,carnivore,8,120,vulnerable,Klyth,sonar navigation,3010,Professor Zed,echolocation,tribal clans,50
Nexulon,glowing yellow,170,desert,herbivore,4,300,not threatened,Nexul,light manipulation,3025,Dr. Lira Tane,light patterns,nomadic tribes,35
Xelthar,crimson red,210,arctic,omnivore,4,90,endangered,Xelth,ice manipulation,3008,Expedition Beta,body heat signals,patriarchal groups,40
Ylthari,soft pink,140,grasslands,herbivore,4,150,not threatened,Ylthar,healing touch,3018,Dr. Nia Solis,olfactory cues,egalitarian societies,20
Qorvax,black with gold stripes,175,underground,omnivore,6,110,vulnerable,Qorvaxia,earth manipulation,2995,Captain Rhea,ground vibrations,tribal hierarchies,55
Tylorian,blue-green,200,cloud cities,carnivore,2,130,not threatened,Tylor,gravity control,3022,Dr. Finn Aris,wind currents,collective groups,70
Zyphorian,iridescent white,160,forests,herbivore,4,180,endangered,Zyphor,telepathy,3012,Professor Kira,thought waves,matriarchal societies,30
Kryllian,bright teal,190,oceans,carnivore,6,95,not threatened,Kryll,water manipulation,3001,Dr. Jax Vorn,water currents,communal pods,45
Vexari,glimmering gold,175,urban,omnivore,2,120,vulnerable,Vexar,technopathy,2998,Expedition Gamma,signal patterns,meritocratic clans,60
Jorvaxian,deep purple,210,volcanic,herbivore,4,150,not threatened,Jorvax,thermal vision,3020,Dr. Elinor,infrared signals,tribal groups,25
Plythar,bright red,180,deserts,omnivore,4,100,endangered,Plyth,wind manipulation,3007,Captain Zara,sonic vibrations,egalitarian tribes,50
