
import pandas as pd

species_id = 'SPC-001'
species_name = 'Fictional Lynx'
habitat_region = 'Northern Forests'
habitat_climate = 'temperate'
habitat_elevation_meters = 1500
physical_traits_height_cm = 120
physical_traits_weight_kg = 30
physical_traits_skin_color = 'gray'
diet_primary_food = 'small mammals'
diet_secondary_food = 'berries'
diet_is_carnivorous = False
reproduction_offspring_per_year = 2
reproduction_mating_season_months = 'March,April'
conservation_status_status = 'Endangered'
conservation_status_population_estimate = 500

species_data = {
    'species_id': [species_id],
    'species_name': [species_name],
    'habitat.region': [habitat_region],
    'habitat.climate': [habitat_climate],
    'habitat.elevation_meters': [habitat_elevation_meters],
    'physical_traits.height_cm': [physical_traits_height_cm],
    'physical_traits.weight_kg': [physical_traits_weight_kg],
    'physical_traits.skin_color': [physical_traits_skin_color],
    'diet.primary_food': [diet_primary_food],
    'diet.secondary_food': [diet_secondary_food],
    'diet.is_carnivorous': [diet_is_carnivorous],
    'reproduction.offspring_per_year': [reproduction_offspring_per_year],
    'reproduction.mating_season_months': [reproduction_mating_season_months],
    'conservation_status.status': [conservation_status_status],
    'conservation_status.population_estimate': [conservation_status_population_estimate]
}

df = pd.DataFrame(species_data)
print(df.to_csv(index=False))
