
"species_name","primary_color","average_height_cm","habitat_type","diet_classification","number_of_legs","average_lifespan_years","endangered_status","native_planet","notable_ability","first_discovered_year","discovered_by","communication_method","social_structure","reproduction_cycle_days"
"Zorvathians","Iridescent Blue","175","Desert Oases","Herbivore","6","120","Not Threatened","Xeridia-IV","Telepathic Empathy","GAL-1234","Captain J. Orion","Sonic Pulses","Matriarchal Clans","365"
"Glimmerwings","Rainbow Iridescent","50","Oceanic Caves","Omnivore","8","80","Vulnerable","Aquaria-III","Bioluminescent Camouflage","GAL-5678","Dr. E. Vortex","Color Changes","Solitary","28"
"Kraelions","Dark Gray","200","Terraformed Cities","Carnivore","4","150","Endangered","Nova Haven","Enhanced Strength","GAL-9012","Telepathic Link","Hierarchical Castes","240"
"Snorp","Mottled Brown","100","Swampy Jungles","Omnivore","10","60","Not Threatened","Zorvath-Prime","Acidic Secretions","GAL-3456","Dr. M. Zorvath","Chemical Signals","Colony Nesting","14"
"Xeridians","Desert Sand","180","Desert Oases","Herbivore","6","100","Not Threatened","Xeridia-IV","Dust Camouflage","GAL-9012","Sonic Pulses","Matriarchal Clans","365"
"Rylothians","Iridescent Green","150","Terraformed Cities","Omnivore","8","120","Vulnerable","Ryloth-Prime","Energy Projection","GAL-1234","Telepathic Link","Hierarchical Castes","240"
"Gloopernacks","Translucent Pink","80","Swampy Jungles","Herbivore","12","50","Not Threatened","Gloop-IV","Bioluminescent Trail","GAL-5678","Chemical Signals","Colony Nesting","14"
"Korvathians","Dark Red","220","Terraformed Cities","Carnivore","4","180","Endangered","Korvath-Prime","Enhanced Speed","GAL-9012","Telepathic Link","Hierarchical Castes","240"
"Zhilakians","Iridescent Blue","120","Oceanic Caves","Omnivore","8","100","Not Threatened","Zhilak-IV","Bioluminescent Camouflage","GAL-1234","Color Changes","Solitary","28"
"Rylothian Wraiths","Iridescent Green","100","Terraformed Cities","Omnivore","6","80","Vulnerable","Ryloth-Prime","Energy Projection","GAL-9012","Telepathic Link","Hierarchical Castes","240"
"Glimmerwings II","Rainbow Iridescent","50","Oceanic Caves","Omnivore","8","80","Vulnerable","Aquaria-III","Bioluminescent Camouflage","GAL-5678","Color Changes","Solitary","28"
"Kraelion Wraiths","Dark Gray","200","Terraformed Cities","Carnivore","4","150","Endangered","Nova Haven","Enhanced Strength","GAL-9012","Telepathic Link","Hierarchical Castes","240"
"Snorp II","Mottled Brown","100","Swampy Jungles","Omnivore","10","60","Not Threatened","Zorvath-Prime","Acidic Secretions","GAL-3456","Chemical Signals","Colony Nesting","14"
"Xeridian Wraiths","Desert Sand","180","Desert Oases","Herbivore","6","100","Not Threatened","Xeridia-IV","Dust Camouflage","GAL-9012","Sonic Pulses","Matriarchal Clans","365"
"Rylothian Wraiths II","Iridescent Green","150","Terraformed Cities","Omnivore","8","120","Vulnerable","Ryloth-Prime","Energy Projection","GAL-9012","Telepathic Link","Hierarchical Castes","240"
"Gloopernacks II","Translucent Pink","80","Swampy Jungles","Herbivore","12","50","Not Threatened","Gloop-IV","Bioluminescent Trail","GAL-5678","Chemical Signals","Colony Nesting","14"
"Korvathian Wraiths","Dark Red","220","Terraformed Cities","Carnivore","4","180","Endangered","Korvath-Prime","Enhanced Speed","GAL-9012","Telepathic Link","Hierarchical Castes","240"
