artifact_id,artifact_name,discovery_site,discovery_date,estimated_age_years,artifact_type,material_primary,material_secondary,dimensions_height_cm,dimensions_width_cm,dimensions_depth_cm,condition_status,current_location,associated_civilization,notable_inscriptions
A-2024-001,Rosetta Stone,Rosetta,1799-07-15,2200,slab,granodiorite,,114.4,72.3,27.9,fragmented,British Museum,Ancient Egypt,"Hieroglyphic, Demotic, and Ancient Greek"
A-2024-002,Tutankhamun's Mask,Valley of the Kings,1925-11-01,3300,mask,gold,lapis lazuli,54,39.3,49,intact,Egyptian Museum,Ancient Egypt,
A-2024-003,Venus de Milo,Milos,1820-04-08,2150,statue,marble,,203,0,0,fragmented,Louvre Museum,Ancient Greece,
A-2024-004,Terracotta Army,Xi'an,1974-03-29,2200,statue,terracotta,,180,60,50,restored,Emperor Qinshihuang's Mausoleum Site Museum,Qin Dynasty,
A-2024-005,Standard of Ur,Ur,1928-01-01,4500,panel,wood,lapis lazuli,25,48,12,restored,British Museum,Ancient Mesopotamia,
A-2024-006,Dead Sea Scrolls,Qumran Caves,1947-02-01,2000,scroll,parchment,,0,0,0,fragmented,Israel Museum,Judea,
A-2024-007,Colosseum,Rome,0080-01-01,1944,amphitheater,travertine,concrete,48.5,189,156,partially ruined,Archaeological site,Roman Empire,
A-2024-008,Parthenon,Athens,0447-01-01,2471,temple,marble,,13.72,30.88,69.5,partially ruined,Acropolis,Ancient Greece,
A-2024-009,Moai,Easter Island,1722-04-05,0700,statue,volcanic rock,,400,160,200,intact,Easter Island,Rapa Nui,
A-2024-010,Machu Picchu,Cusco Region,1911-07-24,0600,citadel,stone,,0,0,0,partially ruined,Archaeological site,Inca Empire,
