
species_name,primary_color,average_height_cm,habitat_type,diet_classification,number_of_legs,average_lifespan_years,endangered_status,native_planet,notable_ability,first_discovered_year,discovered_by,communication_method,social_structure,reproduction_cycle_days
Zyphorians,"iridescent green",180,oceanic caves,herbivore,4,200,"Not Threatened","Virellis-7",telepathy,2157,"Galactic Exploration Team","color changes","matriarchal clans",120
Kryllar,"deep violet",150,desert,omnivore,6,150,"Vulnerable","Deshara",gravity manipulation,2201,"Aetherian Expedition","sonic pulses","hierarchical",90
Thalorians,"metallic silver",220,oceanic caves,carnivore,8,120,"Endangered","Nexara",phase through matter,2342,"Celestial Surveyors","bioluminescence","communal",60
Vortans,"emerald green",140,forest,herbivore,4,80,"Not Threatened","Terra-9",regeneration,2185,"Galactic Archaeologists","vibrations","family-based",100
Luminari,"glowing blue",160,bioluminescent forests,omnivore,6,130,"Vulnerable","Luminara",light emission,2230,"Starlight Expedition","light patterns","cooperative",75
Xyphorians,"crimson red",170,desert,herbivore,6,160,"Not Threatened","Xyphara",heat resistance,2172,"Desert Research Group","thermal signals","tribal",85
Zyphorians,"iridescent green",180,oceanic caves,herbivore,4,200,"Not Threatened","Virellis-7",telepathy,2157,"Galactic Exploration Team","color changes","matriarchal clans",120
Kryllar,"deep violet",150,desert,omnivore,6,150,"Vulnerable","Deshara",gravity manipulation,2201,"Aetherian Expedition","sonic pulses","hierarchical",90
Thalorians,"metallic silver",220,oceanic caves,carnivore,8,120,"Endangered","Nexara",phase through matter,2342,"Celestial Surveyors","bioluminescence","communal",60
Vortans,"emerald green",140,forest,herbivore,4,80,"Not Threatened","Terra-9",regeneration,2185,"Galactic Archaeologists","vibrations","family-based",100
Luminari,"glowing blue",160,bioluminescent forests,omnivore,6,130,"Vulnerable","Luminara",light emission,2230,"Starlight Expedition","light patterns","cooperative",75
Xyphorians,"crimson red",170,desert,herbivore,6,160,"Not Threatened","Xyphara",heat resistance,2172,"Desert Research Group","thermal signals","tribal",85
Zyphorians,"iridescent green",180,oceanic caves,herbivore,4,200,"Not Threatened","Virellis-7",telepathy,2157,"Galactic Exploration Team","color changes","matriarchal clans",120
Kryllar,"deep violet",150,desert,omnivore,6,150,"Vulnerable","Deshara",gravity manipulation,2201,"Aetherian Expedition","sonic pulses","hierarchical",90
Thalorians,"metallic silver",220,oceanic caves,carnivore,8,120,"Endangered","Nexara",phase through matter,2342,"Celestial Surveyors","bioluminescence","communal",60
