
import pandas as pd

def generate_species_csv():
    species_data = {
        'species_id': ['001', '002', '003', '004', '005'],
        'species_name': ['Zorblatt', 'Gloopin', 'Mlorch', 'Zimxth', 'Lorblam'],
        'classification': ['Mammalian', 'Reptilian', 'Amphibian', 'Avian', 'Insect'],
        'average_weight_kg': [50, 120, 30, 80, 1],
        'average_lifespan_years': [25, 75, 40, 60, 2],
        'planet_of_origin': ['Zorblatt-X', 'Gloopin-III', 'Mlorch-IV', 'Zimxth-2', 'Lorblam-5'],
        'primary_color': ['Blue', 'Green', 'Brown', 'Yellow', 'Red'],
        'diet_type': ['Herbivore', 'Carnivore', 'Omnivore', 'Carnivore', 'Herbivore'],
        'habitat_type': ['Forest', 'Desert', 'Swamp', 'Mountain', 'Grassland'],
        'notable_ability': ['Regenerative healing', 'Camouflage', 'Web-spinning', 'Telepathy', 'Glow in the dark'],
        'intelligence_rating': [7, 5, 4, 8, 6],
        'social_structure': ['Solitary', 'Pack', 'Families', 'Colonies', 'Pods'],
        'communication_method': ['Sonic calls', 'Infrasound', 'Visual displays', 'Telepathy', 'Chemical signals'],
        'number_of_limbs': [4, 2, 4, 2, 6],
        'endangered_status': ['No', 'Yes', 'No', 'Yes', 'No']
    }

    species_df = pd.DataFrame(species_data)
    species_df.to_csv('species.csv', index=False)

generate_species_csv()
